2026-02-04 22:06:27 | INFO     | NewsAggregator | info:72 | 开始获取新闻，数据源: ['tencent', 'weibo']
2026-02-04 22:14:01 | INFO     | NewsAggregator | info:72 | 开始获取新闻，数据源: ['wallstreetcn', 'tencent', '36kr']
2026-02-04 22:14:01 | INFO     | NewsAggregator | info:72 | 关键词扩展: '金融,证券,投资' -> '投资,证券,金融'
2026-02-04 22:14:01 | DEBUG    | NewsAggregator | debug:68 | 缓存未命中: wallstreetcn
2026-02-04 22:14:01 | DEBUG    | NewsAggregator | debug:68 | 缓存未命中: tencent
2026-02-04 22:14:01 | DEBUG    | NewsAggregator | debug:68 | 缓存未命中: 36kr
2026-02-04 22:14:01 | INFO     | NewsAggregator | info:72 | 共获取 0 条新闻
2026-02-04 22:14:10 | INFO     | NewsAggregator | info:72 | 开始获取新闻，数据源: ['wallstreetcn']
2026-02-04 22:14:10 | DEBUG    | NewsAggregator | debug:68 | 缓存未命中: wallstreetcn
2026-02-04 22:14:11 | INFO     | NewsAggregator | info:72 | 共获取 19 条新闻
2026-02-04 22:14:11 | INFO     | NewsAggregator | info:72 | 报告已保存: reports/news_report_20260204_221411.md
2026-02-04 22:14:14 | INFO     | NewsAggregator | info:72 | 开始获取新闻，数据源: ['tencent']
2026-02-04 22:14:14 | DEBUG    | NewsAggregator | debug:68 | 缓存未命中: tencent
2026-02-04 22:14:15 | INFO     | NewsAggregator | info:72 | 共获取 10 条新闻
2026-02-04 22:14:15 | INFO     | NewsAggregator | info:72 | 报告已保存: reports/news_report_20260204_221415.md
2026-02-04 22:15:23 | INFO     | NewsAggregator | info:72 | 开始获取新闻，数据源: ['wallstreetcn', 'tencent']
2026-02-04 22:15:23 | INFO     | NewsAggregator | info:72 | 关键词扩展: '上证指数,深证成指,创业板指,A股收盘,大盘走势' -> 'a股收盘,上证指数,创业板指,大盘走势,深证成指'
2026-02-04 22:15:23 | DEBUG    | NewsAggregator | debug:68 | 缓存未命中: wallstreetcn
2026-02-04 22:15:23 | DEBUG    | NewsAggregator | debug:68 | 缓存未命中: tencent
2026-02-04 22:15:24 | INFO     | NewsAggregator | info:72 | 共获取 0 条新闻
2026-02-04 22:15:31 | INFO     | NewsAggregator | info:72 | 开始获取新闻，数据源: ['wallstreetcn', 'tencent', '36kr']
2026-02-04 22:15:31 | INFO     | NewsAggregator | info:72 | 关键词扩展: '股市,收盘,指数,成交量,资金流向' -> '成交量,指数,收盘,股市,资金流向'
2026-02-04 22:15:31 | DEBUG    | NewsAggregator | debug:68 | 缓存未命中: wallstreetcn
2026-02-04 22:15:31 | DEBUG    | NewsAggregator | debug:68 | 缓存未命中: tencent
2026-02-04 22:15:31 | DEBUG    | NewsAggregator | debug:68 | 缓存未命中: 36kr
2026-02-04 22:15:32 | INFO     | NewsAggregator | info:72 | 共获取 0 条新闻
2026-02-04 22:15:36 | INFO     | NewsAggregator | info:72 | 开始获取新闻，数据源: ['wallstreetcn']
2026-02-04 22:15:36 | DEBUG    | NewsAggregator | debug:68 | 缓存未命中: wallstreetcn
2026-02-04 22:15:37 | INFO     | NewsAggregator | info:72 | 共获取 24 条新闻
2026-02-04 22:15:37 | INFO     | NewsAggregator | info:72 | 报告已保存: reports/news_report_20260204_221537.md
2026-02-04 22:15:41 | INFO     | NewsAggregator | info:72 | 开始获取新闻，数据源: ['tencent']
2026-02-04 22:15:41 | DEBUG    | NewsAggregator | debug:68 | 缓存未命中: tencent
2026-02-04 22:15:41 | INFO     | NewsAggregator | info:72 | 共获取 10 条新闻
2026-02-04 22:15:41 | INFO     | NewsAggregator | info:72 | 报告已保存: reports/news_report_20260204_221541.md
